rank,candidate_id,title,country,yoe,lexical,trust,dense,band,career,core_fit,penalty_factor,multiplier,final,penalties
1,CAND_0018499,Senior Machine Learning Engineer,India,7.2,0.7294,0.545,0.9208,1.0,1.0,0.7932,1.0,0.9758,0.773981,-
2,CAND_0081846,Lead AI Engineer,India,6.7,0.6737,0.5037,0.943,1.0,1.0,0.7695,1.0,0.9569,0.73634,-
3,CAND_0077337,Staff Machine Learning Engineer,India,7.0,0.6542,0.5787,0.9218,1.0,0.9531,0.7699,1.0,0.9842,0.757698,-
4,CAND_0046064,Senior NLP Engineer,India,8.9,0.7687,0.385,0.9582,0.92,1.0,0.7626,1.0,0.9458,0.721266,-
5,CAND_0002025,Senior AI Engineer,India,5.9,0.6461,0.435,0.8638,0.92,1.0,0.7242,1.0,0.9896,0.71663,-
6,CAND_0086022,Senior Applied Scientist,India,5.3,0.6625,0.4225,0.8677,0.92,1.0,0.7265,1.0,0.9236,0.671021,-
7,CAND_0079387,AI Engineer,India,6.9,0.6356,0.505,0.8171,1.0,0.9781,0.7351,1.0,0.9577,0.704033,-
8,CAND_0008425,Senior NLP Engineer,India,7.8,0.7406,0.5162,0.9491,1.0,0.85,0.7636,1.0,0.9034,0.689848,-
9,CAND_0046525,Senior Machine Learning Engineer,India,6.1,0.6625,0.2812,0.899,1.0,0.675,0.6389,1.0,1.0066,0.643131,-
10,CAND_0071974,Senior AI Engineer,India,7.8,0.7238,0.4312,0.8532,1.0,0.85,0.7229,1.0,0.9314,0.673322,-
11,CAND_0005260,Senior NLP Engineer,India,5.2,0.7294,0.4562,0.8575,0.92,1.0,0.7535,0.925,0.9088,0.63342,closed_source_no_validation
12,CAND_0011687,Senior NLP Engineer,India,7.8,0.6562,0.285,0.8739,1.0,0.85,0.6692,1.0,0.9763,0.65335,-
13,CAND_0068811,Applied ML Engineer,India,8.0,0.6069,0.2787,0.8284,1.0,1.0,0.676,1.0,0.9575,0.647278,-
14,CAND_0064326,Search Engineer,India,7.6,0.5731,0.46,0.8503,1.0,0.7937,0.6732,1.0,1.0023,0.674778,-
15,CAND_0069905,Applied ML Engineer,India,6.6,0.4931,0.4687,0.9057,1.0,1.0,0.701,1.0,0.9253,0.64862,-
16,CAND_0028793,Search Engineer,India,7.2,0.6462,0.345,0.8774,1.0,1.0,0.7117,1.0,0.9034,0.642984,-
17,CAND_0042029,Senior Data Scientist,India,6.5,0.5619,0.4537,0.818,1.0,0.9437,0.6935,1.0,0.8918,0.618425,-
18,CAND_0044222,AI Engineer,India,7.7,0.5512,0.2812,0.9197,1.0,1.0,0.6736,1.0,0.9328,0.628373,-
19,CAND_0041669,Recommendation Systems Engineer,India,8.0,0.5787,0.26,0.9501,1.0,0.85,0.6511,1.0,0.9682,0.630432,-
20,CAND_0041610,Recommendation Systems Engineer,India,6.7,0.4944,0.4487,0.9505,1.0,0.7719,0.6575,1.0,0.9488,0.623794,-
21,CAND_0074225,Machine Learning Engineer,India,4.3,0.5619,0.4737,0.8197,0.745,0.9437,0.6732,1.0,0.9576,0.644659,-
22,CAND_0030348,Machine Learning Engineer,India,4.5,0.5125,0.3375,0.9252,0.795,1.0,0.6564,1.0,0.937,0.615057,-
23,CAND_0079064,Senior Data Scientist,India,5.2,0.5128,0.4,0.8395,0.92,1.0,0.6718,1.0,0.9629,0.646846,-
24,CAND_0052682,NLP Engineer,India,6.6,0.5512,0.325,0.8336,1.0,1.0,0.6717,1.0,0.9451,0.634791,-
25,CAND_0094759,Lead AI Engineer,India,8.6,0.6625,0.325,0.9025,0.92,0.85,0.6774,1.0,0.8274,0.560466,-
26,CAND_0007009,Recommendation Systems Engineer,India,7.9,0.4931,0.36,0.8284,1.0,1.0,0.6622,1.0,0.9397,0.622263,-
27,CAND_0052328,Recommendation Systems Engineer,India,6.5,0.4856,0.4437,0.8472,1.0,0.9437,0.6725,1.0,0.9623,0.647109,-
28,CAND_0026532,Recommendation Systems Engineer,India,4.8,0.5505,0.2937,0.9846,0.87,1.0,0.6733,1.0,0.8835,0.594844,-
29,CAND_0044855,Senior Data Scientist,India,6.6,0.6075,0.3212,0.8473,1.0,1.0,0.6897,1.0,0.8914,0.614758,-
30,CAND_0010257,Senior Data Scientist,India,6.5,0.4825,0.2875,0.7902,1.0,1.0,0.6352,1.0,0.9541,0.606002,-
31,CAND_0027691,NLP Engineer,India,6.5,0.5194,0.4862,0.8115,1.0,1.0,0.6991,1.0,0.9591,0.670512,-
32,CAND_0055905,Senior Machine Learning Engineer,UK,8.1,0.7294,0.3412,0.87,0.92,0.85,0.6966,0.925,0.9193,0.592371,closed_source_no_validation
33,CAND_0088025,Staff Machine Learning Engineer,India,8.6,0.5125,0.4037,0.8879,0.92,0.6771,0.6153,1.0,0.952,0.58575,-
34,CAND_0040117,Recommendation Systems Engineer,India,6.5,0.5512,0.4187,0.8886,1.0,1.0,0.7034,0.925,0.9145,0.594977,closed_source_no_validation
35,CAND_0030953,Search Engineer,India,7.8,0.7025,0.385,0.9165,1.0,0.95,0.7345,1.0,0.8409,0.617614,-
36,CAND_0083307,Search Engineer,India,7.8,0.5412,0.39,0.8215,1.0,0.9562,0.6743,1.0,0.8868,0.598009,-
37,CAND_0042506,Search Engineer,India,4.2,0.5512,0.2937,0.829,0.72,1.0,0.6352,1.0,0.9498,0.603281,-
38,CAND_0093912,Senior Data Scientist,India,5.3,0.453,0.4,0.8645,0.92,0.8187,0.6213,1.0,0.96,0.596477,-
39,CAND_0033861,Senior NLP Engineer,India,8.0,0.7042,0.3262,0.906,1.0,1.0,0.7287,1.0,0.7915,0.576794,-
40,CAND_0075249,Applied ML Engineer,India,6.2,0.5125,0.29,0.9829,1.0,1.0,0.6737,1.0,0.9109,0.613664,-
41,CAND_0061265,Recommendation Systems Engineer,India,6.6,0.4712,0.3112,0.9709,1.0,0.9875,0.6623,1.0,0.9256,0.613042,-
42,CAND_0062247,AI Engineer,India,7.3,0.4141,0.36,0.9418,1.0,1.0,0.6555,1.0,0.9529,0.624618,-
43,CAND_0096142,Applied ML Engineer,India,5.0,0.4544,0.3062,0.8971,0.92,1.0,0.6394,1.0,0.9608,0.614374,-
44,CAND_0040887,Machine Learning Engineer,Canada,4.7,0.5137,0.3537,0.8486,0.845,1.0,0.6544,1.0,0.9257,0.605733,-
45,CAND_0030031,AI Engineer,India,5.7,0.5017,0.3862,0.8686,0.92,1.0,0.6694,1.0,0.9192,0.615291,-
46,CAND_0007412,Applied ML Engineer,India,7.4,0.5731,0.3375,0.7845,1.0,0.8812,0.6502,1.0,0.9439,0.613764,-
47,CAND_0018722,Recommendation Systems Engineer,Canada,6.6,0.4819,0.2325,0.9854,1.0,1.0,0.6505,1.0,0.9195,0.598138,-
48,CAND_0060054,AI Engineer,India,6.4,0.6356,0.3687,0.9139,1.0,1.0,0.72,0.925,0.8858,0.589912,closed_source_no_validation
49,CAND_0039383,Applied ML Engineer,India,7.1,0.5512,0.3812,0.774,1.0,1.0,0.6768,1.0,0.9159,0.619872,-
50,CAND_0086151,Recommendation Systems Engineer,India,7.7,0.54,0.3762,1.0,1.0,0.85,0.6761,1.0,0.8581,0.580129,-
51,CAND_0066376,Applied ML Engineer,India,5.7,0.5125,0.3912,0.9612,0.92,1.0,0.6877,0.925,0.9076,0.577376,closed_source_no_validation
52,CAND_0037944,Senior Data Scientist,India,4.9,0.5619,0.3625,0.8157,0.895,0.9437,0.6598,1.0,0.8901,0.587285,-
53,CAND_0065195,Search Engineer,India,5.1,0.4462,0.1862,0.8553,0.92,0.9437,0.5895,1.0,0.9746,0.574503,-
54,CAND_0053591,AI Engineer,Canada,5.3,0.5619,0.3862,0.729,0.92,0.9437,0.6552,1.0,0.9148,0.5994,-
55,CAND_0031593,Search Engineer,India,7.8,0.5787,0.35,0.92,1.0,0.7333,0.6458,1.0,0.8888,0.573981,-
56,CAND_0070398,Machine Learning Engineer,India,7.2,0.57,0.5737,0.8595,1.0,0.8833,0.72,1.0,0.8821,0.635134,-
57,CAND_0093547,Senior Machine Learning Engineer,India,2.9,0.6562,0.3725,0.9249,0.395,0.8375,0.6357,1.0,0.8838,0.561858,-
58,CAND_0054123,Applied ML Engineer,India,4.7,0.5312,0.3625,0.929,0.845,1.0,0.6739,1.0,0.9168,0.617789,-
59,CAND_0084819,Search Engineer,India,4.5,0.4569,0.4225,0.8204,0.795,0.9437,0.634,1.0,0.9176,0.581761,-
60,CAND_0096172,NLP Engineer,India,5.2,0.5125,0.4312,0.8825,0.92,1.0,0.6859,1.0,0.8595,0.589558,-
61,CAND_0044883,AI Engineer,Germany,6.3,0.6744,0.2675,0.8412,1.0,0.9406,0.6835,1.0,0.8593,0.58732,-
62,CAND_0081852,Senior Data Scientist,India,5.9,0.4462,0.2725,0.8313,0.92,0.9437,0.6074,1.0,0.9515,0.577984,-
63,CAND_0054394,Recommendation Systems Engineer,India,4.1,0.4819,0.25,0.9717,0.695,1.0,0.6223,1.0,0.9626,0.599038,-
64,CAND_0064904,AI Engineer,India,4.9,0.3875,0.4275,0.8322,0.895,1.0,0.6374,1.0,0.9245,0.589322,-
65,CAND_0007411,Senior Machine Learning Engineer,India,8.0,0.6562,0.3475,0.8029,1.0,0.85,0.6742,1.0,0.8083,0.544938,-
66,CAND_0098846,AI Engineer,India,7.6,0.4944,0.285,0.8452,1.0,0.7844,0.6032,1.0,0.9451,0.5701,-
67,CAND_0091909,Machine Learning Engineer,India,6.9,0.4544,0.2412,0.8751,1.0,1.0,0.6279,1.0,0.9065,0.569188,-
68,CAND_0079284,Machine Learning Engineer,India,4.9,0.4544,0.2275,0.8728,0.895,1.0,0.6136,1.0,0.9057,0.555741,-
69,CAND_0074735,Applied ML Engineer,India,5.5,0.4856,0.4325,0.7792,0.92,0.9312,0.6489,1.0,0.9165,0.594757,-
70,CAND_0058575,AI Engineer,India,5.8,0.5306,0.3787,0.7794,0.92,1.0,0.6628,1.0,0.9002,0.596633,-
71,CAND_0000031,Recommendation Systems Engineer,India,6.0,0.3606,0.2062,0.9648,1.0,0.8875,0.582,1.0,0.9699,0.564446,-
72,CAND_0053695,Recommendation Systems Engineer,India,5.8,0.5625,0.3562,0.8928,0.92,0.8583,0.6554,1.0,0.8924,0.584878,-
73,CAND_0075574,Machine Learning Engineer,India,5.7,0.5731,0.3912,0.8153,0.92,0.6771,0.6195,1.0,0.9311,0.576787,-
